"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_e_b ', 'Regiao onde mora')","('P1_h ', 'Nivel de Ensino')","('P2_f ', 'Cargo Atual')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_q ', 'Atualmente qual a sua forma de trabalho?')","('P2_r ', 'Qual a forma de trabalho ideal para você?')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_a ', 'Remuneração/Salário')","('P2_o_b ', 'Benefícios')","('P2_o_c ', 'Propósito do trabalho e da empresa')","('P2_o_d ', 'Flexibilidade de trabalho remoto')","('P2_o_e ', 'Ambiente e clima de trabalho')","('P2_o_f ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_g ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_h ', 'Maturidade da empresa em termos de tecnologia e dados')"
yd722jrdxu5kkjd0ym7yd722u5ycruy2,54.0,Masculino,Nordeste,Estudante de Graduação,,,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Flexibilidade de trabalho remoto, Remuneração/Salário, Propósito do trabalho e da empresa",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
yy6h9o8ufwk02qvyyy6h9jh0iuks069q,38.0,Masculino,Sudeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
bicyjxqeu7xcmt9sbicyjl3olut0wh7n,29.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
g2krcfulhoq7evotcedx8g2krcfusvc5,36.0,Masculino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ftrr7jtivnvwu45y4jqfftrr5gm6b4oz,33.0,Masculino,Exterior,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Propósito do trabalho e da empresa, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
58r5enjavujat7xb8ly58r5enyye5rwj,34.0,Masculino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Maturidade da empresa em termos de tecnologia e dados, Qualidade dos gestores e líderes, Reputação que a empresa tem no mercado",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
p2ws8p38z04k16bdpxdpp2ws8p36b4uv,49.0,Masculino,Sudeste,Pós-graduação,,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Propósito do trabalho e da empresa, Remuneração/Salário, Reputação que a empresa tem no mercado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9urnh3cq2yl9aaho3bi2mea59urnh3cq,25.0,Masculino,Sudeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
yl8cxm2lqsjq8bglwnyl8c5klivpg19w,29.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Plano de carreira e oportunidades de crescimento profissional, Maturidade da empresa em termos de tecnologia e dados, Reputação que a empresa tem no mercado",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
we8zh5zd7zcxduwe8cw1j95pw7z6rphg,40.0,Masculino,Sudeste,Mestrado,,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
mja7gl1qxec6vr61wzmja7gr1j3uw0nk,42.0,Masculino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Benefícios, Ambiente e clima de trabalho",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
dbesug8gxiyw8tx8bmasib9dbesug8h0,32.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Maturidade da empresa em termos de tecnologia e dados",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
270av4ylqd2yva3q8g5270av4yc2sp2h,28.0,Masculino,Nordeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Servidor Público,"Propósito do trabalho e da empresa, Remuneração/Salário, Qualidade dos gestores e líderes",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
z6dlvuo84t784bw7z1eoz6dlvuo89ayj,40.0,Masculino,Sudeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,Empreendedor ou Empregado (CNPJ),"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
torzjrgvvdq0v9d6tr24torzjmtlrhx7,49.0,Masculino,Sul,Pós-graduação,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Ambiente e clima de trabalho, Flexibilidade de trabalho remoto, Remuneração/Salário",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9kej2pcjr347ry15a3mjr34df9kej2pc,32.0,Feminino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes, Remuneração/Salário",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ds69dp0xun5jsuprds64xugpashxfh74,26.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Remuneração/Salário, Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mwytcqm4vbc3vgmw1pdlovuzbt0ejsfc,53.0,Masculino,Nordeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),Oportunidade de aprendizado e trabalhar com referências na área,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
maw6y90p3m4sqrn8hqomaw6y901li3px,34.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
wj9yrt2nmrs4jthwj9yrt2m1k3787rzm,26.0,Masculino,Sul,Pós-graduação,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
qn55m925j0nyzd01yq2qn55m96tjilfi,50.0,Masculino,Nordeste,Estudante de Graduação,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Benefícios, Flexibilidade de trabalho remoto, Remuneração/Salário",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
17g7ex657rqj16mlaht617g7ea8r1411,38.0,Feminino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
75z6t1ug11cc8r2u75z6t1bonmn7rb2e,43.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
zydzifmtlzdi0fhpnqezydzifm87vy74,39.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
xkiq6kdh74dxzlhmlgxkiq60cy3hlu5f,50.0,Feminino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Flexibilidade de trabalho remoto, Ambiente e clima de trabalho, Qualidade dos gestores e líderes",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
wbxg95qrcybfoajwuwbxzkumv24bfjnx,36.0,Masculino,Sudeste,Mestrado,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Maturidade da empresa em termos de tecnologia e dados, Ambiente e clima de trabalho, Remuneração/Salário",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
uwcp2g1pdxplkmk1sxff1qobuwcp2gfd,42.0,Masculino,Nordeste,Mestrado,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,Servidor Público,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
uocrruqbihg91x438wuocrruvkx1gths,32.0,Masculino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
t6r8abvgu39fudlxgvpdt6r8amikaf7l,39.0,Masculino,Nordeste,Estudante de Graduação,,,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área, Ambiente e clima de trabalho",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
q7nb6yrn1fzvvqljdj70uq7nb6bu89fq,37.0,Masculino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Vivo no Brasil e trabalho remoto para empresa de fora do Brasil (PJ),"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Remuneração/Salário",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
nf4mxbzorp3wplmdkacw8anf4mxbu1a5,28.0,Masculino,Centro-oeste,Não tenho graduação formal,,,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
lfnhmdnv8q85a5xrrn6a1hklfnhmdy75,36.0,Masculino,Nordeste,Graduação/Bacharelado,,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
g0tnjhpyw6pggwrwoyg0tnjsgj34f7rb,29.0,Feminino,Sudeste,Não tenho graduação formal,,,Acima de R$ 40.001/mês,de 6 a 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
pcfdtwj8v55jadkffppcfd12krtcsx4z,40.0,Masculino,Sudeste,Mestrado,,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Ambiente e clima de trabalho, Qualidade dos gestores e líderes",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9bcg7tyxl94tzv45h9bcg7t48uikhr1t,30.0,Masculino,Sul,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),Remuneração/Salário,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qp229yihdr7l9d6069qp2qfqwskd2jx9,43.0,Masculino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6rd6glgftfyxeocgc3s6rdrut871aabb,35.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),Propósito do trabalho e da empresa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
uesd1by0e50jabuesrs9v9lrv9g3k5f8,32.0,Masculino,Sudeste,Mestrado,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
jo63j7xugwm0jtgom6jo63jxf6td71oz,36.0,Masculino,Sul,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7ue1r99pz0rmrju7ue205v3fv53ldsv4,41.0,Feminino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Benefícios, Propósito do trabalho e da empresa",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
liyf0iju47iosy2y2gct5liyf0ivg38c,41.0,Masculino,Centro-oeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto, Remuneração/Salário",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
a74qyz02u1fxma74x3ocwcuw0hk9y6ag,49.0,Masculino,Sudeste,Mestrado,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% presencial,Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Ambiente e clima de trabalho, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0tbmyzdehcfopw36kt94akt0tbmyzde0,26.0,Masculino,Sul,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
p5ql8kv4dhvczzqr6xp5ql8kvp5hmwxe,36.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
aa968jgoheqjj1qb5se94aa968jg2o5c,31.0,Masculino,Sudeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Remuneração/Salário, Reputação que a empresa tem no mercado, Ambiente e clima de trabalho",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4atu47mx13dl6dkhrf4atu4j2q9dgcuv,27.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área, Ambiente e clima de trabalho",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
bfsf6n43f9hgwyxljkybfsf6n42zcvm7,35.0,Masculino,Centro-oeste,Doutorado ou Phd,,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Reputação que a empresa tem no mercado, Remuneração/Salário",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsbe583o76qs25avs4dhsbe5rm7glwz3,26.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
eq2xxwpadkpqs8rlfg317eq2xxsc2009,26.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Ambiente e clima de trabalho",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
vyv4n770exvmzvxo0oqfj7k6x4a3yki6,45.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Qualidade dos gestores e líderes",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8q56p6hz12fgwvcp8q56p8ss4ea8mwaq,39.0,Masculino,Sul,Mestrado,,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Oportunidade de aprendizado e trabalhar com referências na área, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
q6h8qa5bfu66m5kqy8wj1q6h8qa50cvf,44.0,Masculino,Sudeste,Pós-graduação,,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),Plano de carreira e oportunidades de crescimento profissional,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
x7or4c3gz3in9mut6x7or4don1b3bm25,39.0,Feminino,Sul,Não tenho graduação formal,,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Qualidade dos gestores e líderes, Maturidade da empresa em termos de tecnologia e dados, Ambiente e clima de trabalho",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
xv935r13l5hoaob29dau2oxv935r17jz,45.0,Masculino,Nordeste,Estudante de Graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),"Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
vzwrs4jjz20cjygjvzwrs4hcwyafwk15,27.0,Masculino,Centro-oeste,Graduação/Bacharelado,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
swzyvp7rd14ahhzasfreuswzwks44tff,33.0,Masculino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ne3oukm5u6ax1uyux9223ur4ne3oukm1,27.0,Feminino,Sudeste,Graduação/Bacharelado,,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
118rpksnw4v7cphgo118rpsfmm0zribk,28.0,Masculino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2pj829daiiklvhizi2pj82d9hoyrotie,27.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 25.001/mês a R$ 30.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido com dias fixos de trabalho presencial,Empreendedor ou Empregado (CNPJ),"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
